Fecha,CTACTE,DEUDAPIB,INTPIB,IMPTOSPIB,EMBI,PD
31/03/2003,-0.0175,0.3943,0.0351,0.1037,626,0.3919
30/06/2003,-0.0151,0.4264,0.0394,0.1193,515,0.2934
30/09/2003,-0.0112,0.4327,0.0392,0.1188,486,0.2838
31/12/2003,-0.01,0.4474,0.0392,0.1227,403,0.2614
31/03/2004,-0.0095,0.4508,0.0382,0.1237,414,0.2388
30/06/2004,-0.0105,0.4274,0.0362,0.126,482,0.2824
30/09/2004,-0.0093,0.4301,0.037,0.1285,409,0.243
31/12/2004,-0.0067,0.4345,0.0386,0.1349,347,0.2073
31/03/2005,-0.0058,0.4327,0.0357,0.131,373,0.2597
30/06/2005,-0.0057,0.4119,0.032,0.1303,297,0.1832
30/09/2005,-0.0122,0.4033,0.0345,0.1316,235,0.1202
31/12/2005,-0.013,0.409,0.0311,0.131,237,0.1071
31/03/2006,-0.0134,0.4074,0.0308,0.1319,191,0.0879
30/06/2006,-0.016,0.3639,0.0278,0.1185,218,0.1121
30/09/2006,-0.0149,0.3868,0.0328,0.1343,207.75,0.0933
31/12/2006,-0.018,0.4055,0.0377,0.1457,171,0.0741
31/03/2007,-0.0255,0.3894,0.0387,0.1508,169.87,0.0623
30/06/2007,-0.0276,0.4115,0.0412,0.1614,181.06,0.0546
30/09/2007,-0.0294,0.3775,0.0376,0.1502,213.91,0.0756
31/12/2007,-0.029,0.3516,0.0366,0.1444,254.6,0.0828
31/03/2008,-0.0239,0.3713,0.0349,0.1554,324.46,0.1302
30/06/2008,-0.0212,0.3314,0.0308,0.1417,308.42,0.1022
30/09/2008,-0.0212,0.294,0.0253,0.1224,442.39,0.1213
31/12/2008,-0.0264,0.2976,0.0258,0.1222,724.44,0.19
31/03/2009,-0.0259,0.3006,0.0235,0.11,656.62,0.2287
30/06/2009,-0.0257,0.3614,0.0295,0.1404,432.98,0.1335
30/09/2009,-0.0247,0.3975,0.0342,0.1619,337.04,0.1018
31/12/2009,-0.0198,0.3857,0.0306,0.1434,294.43,0.0908
31/03/2010,-0.0199,0.3798,0.0296,0.1443,261.33,0.0971
30/06/2010,-0.0212,0.3709,0.0296,0.1338,358.23,0.0949
30/09/2010,-0.0272,0.3801,0.0296,0.1379,304.52,0.0792
31/12/2010,-0.0304,0.3693,0.0259,0.1278,288.52,0.0727
31/03/2011,-0.0315,0.3573,0.0249,0.1288,298.81,0.0735
30/06/2011,-0.0312,0.3496,0.0263,0.1464,288.45,0.0741
30/09/2011,-0.0292,0.333,0.0237,0.135,464.96,0.1265
31/12/2011,-0.0292,0.3297,0.024,0.1329,426.34,0.0994
31/03/2012,-0.0274,0.34,0.0257,0.1431,341.58,0.0711
30/06/2012,-0.0307,0.3339,0.0241,0.1549,374.17,0.0915
30/09/2012,-0.0316,0.3275,0.0241,0.1523,307.67,0.0675
31/12/2012,-0.0306,0.3298,0.0245,0.1513,265.78,0.0632
31/03/2013,-0.0349,0.3264,0.0232,0.1477,307.35,0.0639
30/06/2013,-0.0321,0.3088,0.0223,0.1362,353.42,0.0902
30/09/2013,-0.0322,0.3309,0.0216,0.1417,355.29,0.085
31/12/2013,-0.0327,0.3386,0.0215,0.1432,327.18,0.0789
31/03/2014,-0.0345,0.3482,0.0209,0.1471,323.52,0.0692
30/06/2014,-0.0394,0.3609,0.0221,0.153,284.97,0.0507
30/09/2014,-0.0424,0.3428,0.0218,0.1418,333.62,0.0624
31/12/2014,-0.0517,0.3168,0.018,0.1249,404.2,0.0836
31/03/2015,-0.0573,0.3213,0.018,0.1208,409.66,0.1011
30/06/2015,-0.0609,0.3445,0.0186,0.1315,391.76,0.1055
30/09/2015,-0.0668,0.3469,0.0189,0.1228,473.94,0.1499
31/12/2015,-0.0628,0.3664,0.0203,0.1328,445.6,0.1494
31/03/2016,-0.059,0.4147,0.0228,0.1471,433.79,0.1399
30/06/2016,-0.0542,0.4498,0.0247,0.1585,406.56,0.1435
30/09/2016,-0.0479,0.4549,0.0273,0.1582,359.99,0.1083
31/12/2016,-0.0424,0.4429,0.0253,0.1489,365.38,0.1044
31/03/2017,-0.0408,0.4514,0.0254,0.1511,331.48,0.0863
30/06/2017,-0.0397,0.4242,0.0257,0.1417,328.24,0.0877
30/09/2017,-0.0367,0.4462,0.0271,0.1486,307.63,0.079
31/12/2017,-0.0328,0.4426,0.0254,0.1466,310.98,0.0687
31/03/2018,-0.03,0.4707,0.0269,0.1569,325.97,0.0693
30/06/2018,-0.0317,0.4587,0.024,0.1426,388.06,0.0806
30/09/2018,-0.0325,0.4613,0.0243,0.1396,361.73,0.0714
31/12/2018,-0.0391,0.4367,0.0228,0.1331,434.61,0.1013
31/03/2019,-0.0414,0.4625,0.0246,0.1401,372.77,0.0725
30/06/2019,-0.0405,0.4724,0.0259,0.1445,365.83,0.0602
30/09/2019,-0.0433,0.4559,0.024,0.14,337.51,0.061
31/12/2019,-0.0426,0.4716,0.0223,0.1482,277.39,0.0484
31/03/2020,-0.05,0.5,0.025,0.14,577,0.1468
22/05/2020,-0.05,0.525,0.027,0.135,457,0.09
31/12/2020,-0.045,0.55,0.03,0.135,457,0.09
